Klub;Igrač;Pozicije;Rođen
R;Prince Obeng Ampem;V;13.04.1998.
R;Filip Braut;B;05.06.2002.
R;Denis Bušnja;V;14.04.2000.
R;Josip Drmić;N;08.08.1992.
R;Niko Galešić;B;26.03.2001.
R;Nino Galović;B;06.07.1992.
R;Adam Gnezda Čerin;V;16.07.1999.
R;Abass Issah;N;26.09.1998.
R;Roko Jurišić;B;28.09.2001.
R;Bernard Karrica;LV;07.01.2001.
R;Anton Krešić;B;29.01.1996.
R;Nediljko Labrović;G;10.10.1999.
R;Ivan Lepinjica;V;09.07.1999.
R;Adrian Liber;V;09.01.2001.
R;Mikhail Merkulov;B;26.01.1994.
R;Robert Mudražija;V;05.05.1997.
R;Robert Murić;V;12.03.1996.
R;Jorge Leonardo Obregon Rojas;N;29.03.1997.
R;Domagoj Pavičić;V;09.03.1994.
R;Joao Rodrigo Pereira Escoval;B;08.05.1997.
R;Andrej Prskalo;G;01.05.2987.
R;Lindon Selahi;V;26.02.1999.
R;Hrvoje Smolčić;B;17.08.2000.
R;Mato Stanić;V;11.05.1998.
R;Ivan Tomečak;B;07.10.1989.
R;Darko Velkovski;B;21.06.1995.
R;Haris Vučkić;N;21.08.1992.
R;Matej Vuk;N;10.06.2000.
R;Andrija Vukčević;B;11.10.1996.
R;Martin Zlomislić;G;16.08.1998.
H;Jani Atanasov;V;31.10.1999.
H;Stipe Biuk;N;26.12.2002.
H;David Čolina;B;19.07.2000.
H;Mario Čuić;V;22.04.2001.
H;Ivan Ćalušić;B;12.09.1999.
H;Ivan Ćubelić;CN;02.07.2003.
H;Jairo De Macedo Da Silva;N;6.5.1992
H;Lumbardh Dellova;B;01.01.1999.
H;Dimitrios Diamantakos;N;05.03.1993.
H;Kristian Traychev Dimitrov;B;27.02.1997.
H;Ivan Dolček;B;24.04.2000.
H;Samuel Emem Eduok;N;31.1.1994
H;Josip Elez;B;25.04.1994.
H;Marco Ezio Fossati;V;05.10.1992.
H;Alexander Kacaniklic;N;13.08.1991.
H;Lovre Kalinić;G;03.10.1990.
H;Nikola Katić;B;10.10.1996.
H;Filip Krovinović;V;29.08.1995.
H;Marko Livaja;N;26.08.1993.
H;Gergő Lovrencsics;B;01.09.1988.
H;Marin Ljubičić;N;28.02.2002.
H;Dario Melnjak;B;31.10.1992.
H;Jan Mlakar;N;23.10.1998.
H;Ivan Perić;G;02.01.2002.
H;Josip Posavec;G;10.03.1996.
H;Emir Sahiti;V;29.11.1998.
H;Toni Silić;G;07.05.2004.
H;Stefan Simić;B;20.01.1995.
H;Danijel Subašić;G;27.10.1984.
H;Luka Škaričić;B;28.01.2002.
H;Josip Vuković;V;02.05.1992.
H;Mario Vušković;B;16.11.2001.
D;Arijan Ademi;V;29.05.1991.
D;Komnen Andrić;N;01.07.1995.
D;Martin Baturina;V;16.02.2003.
D;Marko Bulat;V;29.09.2001.
D;Nikola Čavlina;G;02.06.2002.
D;Duje Čop;N;01.02.1990.
D;Emir Dilaver;B;07.05.1991.
D;Bartol Franjić;V;14.01.2000.
D;Mario Gavranović;V;24.11.1989.
D;Amer Gojak;V;13.02.1997.
D;Dinko Horkaš;G;10.03.1999.
D;Luka Ivanušec;V;26.11.1998.
D;Kristijan Jakić;V;14.05.1997.
D;Deni Jurić;N;09.03.1997.
D;Lirim Kastrati;V;16.01.1999.
D;Rasmus Steensbaek Lauritsen;B;27.02.1996.
D;Marin Leovac;LB;07.08.1988.
D;Dominik Livaković;G;09.01.1995.
D;Lovro Majer;B;17.01.1998.
D;Luka Menalo;N;22.07.1996.
D;Stefan Milić;B;06.07.2000.
D;Josip Mišić;V;28.06.1994.
D;Sadegh Moharrami Getgasari;B;01.'3.1996.
D;Jacques Francois Moubandje;LB;21.06.1990.
D;Mislav Oršić;N;29.12.1992.
D;Dino Perić;B;12.07.1994.
D;Bruno Petković;N;16.09.1994.
D;Stefan Ristovski;DB;12.02.1992.
D;Ivan Šaranić;N;12.05.2003.
D;Dario Špikić;N;22.03.1999.
D;Daniel Štefulj;LB;08.11.1999.
D;Josip Šutalo;B;28.02.2000.
D;Kevin Theophile Catherine;B;28.10.1989.
D;Marko Tolić;V;05.07.1996.
D;Jakov-Anton Vasilj;V;02.06.2002.
