Broj;Min;Vrsta;Klub;Igrač;Zamjena
7;0;0;;;
7;11;10;O;Mile Škorić;
7;23;10;H;Filip Krovinović;
7;24;10;H;Marko Livaja;
7;39;10;H;Mario Vušković;
7;46;20;H;Marin Ljubičić;Jairo De Macedo Da Silva
7;46;20;O;Mihael Žaper;Vedran Jugović
7;55;10;H;Josip Vuković;
7;63;1;H;Marko Livaja;
7;66;1;O;Mario Jurčević;
7;70;20;H;Emir Sahiti;Dimitrios Diamantakos
7;70;20;H;Gergő Lovrencsics;Lumbardh Dellova
7;70;20;O;Darko Nejašmić;Petar Bočkaj
7;70;20;O;Damjan Bohar;Amer Hiroš
7;70;20;O;Šime Gržan;Marin Pilj
7;79;20;H;Jan Mlakar;Jani Atanasov
7;84;20;O;Ramon Nazareno MIEREZ;Antonio Mance
7;87;1;O;Marin Pilj;
7;89;20;H;Mario Vušković;Kristian Traychev Dimitrov
7;90+6;10;H;Jani Atanasov;
7;90+6;99;;;
8;0;0;;;
8;22;1;L;Enis Cokaj;
8;46;20;SP;Lovro Zvonarek;Mateo Monjac
8;47;10;SP;Arijan Brković;
8;62;20;SP;Arijan Brković;Antonio Bosec
8;62;20;SP;Marin Laušić;Mihael Mlinarić
8;66;2;SP;Ivan Krstanović;
8;77;20;L;Marko Dabro;Luka Stojković
8;80;1;L;Josip Pivarić;
8;89;20;L;Aliyu Ibrahim;Mate Maleš
8;90+2;20;L;Josip Pivarić;Kemal Osmanković
8;90+3;10;SP;Antonio Bosec;
8;90+3;99;;;
9;0;0;;;
9;19;1;D;Lovro Majer;
9;34;10;HD;Tonio Teklić;
9;36;1;D;Josip Šutalo;
9;46;20;HD;Karlo Perić;Vinko Petković
9;46;20;D;Stefan Ristovski;Lirim Kastrati
9;46;20;D;Josip Mišić;Marko Bulat
9;48;1;D;Mario Gavranović;
9;52;20;HD;Luka Viduka;Danovis Martinez Caliz
9;53;1;D;Lovro Majer;
9;55;20;D;Kristijan Jakić;Dario Špikić
9;56;20;HD;Valentino Majstorović;Domagoj Babin
9;56;20;HD;Dino Skorup;Tin Hrvoj
9;66;20;D;Lovro Majer;Bruno Petković
9;71;20;D;Mario Gavranović;Duje Čop
9;74;20;HD;Marko Bašić;Jakov Bašić
9;90;99;;;
10;0;0;I;;
10;18;10;I;Slavko Blagojević;
10;25;10;I;Bernardo Matić;
10;44;10;I;Antonio Perera Calderon;
10;46;20;R;Andrija Vukčević;Jorge Leonardo Obregon Rojas
10;66;20;R;Robert Mudražija;Ivan Lepinjica
10;67;20;I;Miroslav Iličić;Dion Drena Beljo
10;76;20;I;Damjan Daničić;Luka Marin
10;78;1;R;Josip Drmić;
10;81;10;R;Jorge Leonardo Obregon Rojas;
10;82;1;R;Josip Drmić;
10;85;20;I;Antonio Perera Calderon;Antonio Siljan
10;85;20;I;Frano Mlinar;Robert Mišković
10;90+3;20;R;Josip Drmić;Niko Galešić
10;90+5;10;I;Antonio Siljan;
10;90+5;99;;;
