Broj;Klub;Vrsta;Igrač;Pozicija
1;R;S;Nediljko Labrović;G
1;R;S;Nino Galović;B
1;R;S;Robert Murić;V
1;R;S;Adrian Liber;V
1;R;S;Prince Obeng Ampem;V
1;R;S;Andrija Vukčević;B
1;R;S;Ivan Lepinjica;V
1;R;S;Josip Drmić;N
1;R;S;Robert Mudražija;V
1;R;S;Joao Rodrigo Pereira Escoval;B
1;R;S;Ivan Tomečak;B
1;R;P;Martin Zlomislić;G
1;R;P;Filip Braut;B
1;R;P;Niko Galešić;B
1;R;P;Jorge Leonardo Obregon Rojas;N
1;R;P;Darko Velkovski;B
1;R;P;Matej Vuk;N
1;R;P;Roko Jurišić;B
1;R;P;Denis Bušnja;V
1;R;P;Hrvoje Smolčić;B
1;G;S;Hrvoje Babec;V
1;G;S;Ivan Banić;G
1;G;P;Fran Brodić;N
1;G;P;Younes Delfi;N
1;G;S;Matar Dieye;N
1;G;P;Matija Dvorneković;N
1;G;P;Toni Fruk;V
1;G;S;Aleksandar Jovičić;B
1;G;P;Anthony Kalik;V
1;G;S;Cheick KEITA;B
1;G;P;Dominik Kotarski;G
1;G;S;Kristijan Lovrić;N
1;G;P;Saša Marjanović;B
1;G;S;Serge-Junior Bertil Nicolas Martinsson Ngouali;V
1;G;S;Josip Mitrović;N
1;G;S;Nasiru Moro;V
1;G;S;Musa Muhammed;G
1;G;P;Jurica Pršir;V
1;G;S;Martin Šroler;N
1;G;P;Josip Ivan Zorica;N
2;I;S;Boureima Hassane Bande;N
2;I;P;Dion Drena Beljo;N
2;I;S;Slavko Blagojević;V
2;I;S;Miroslav Iličić;N
2;I;S;Antonio Ivančić;V
2;I;P;Mateo Lisica;N
2;I;S;Ivan Lučić;G
2;I;S;Luka Marin;B
2;I;S;Bernardo Matić;B
2;I;P;Robert Mišković;V
2;I;S;Frano Mlinar;V
2;I;S;Rafael Jesus Navarro Mazuecos;B
2;I;S;Antonio Perera Calderon;V
2;I;S;Mauro Perković;B
2;I;P;Jan Paus-Kunšt;G
2;I;P;Fran Vujnović;V
2;I;P;Mihael Rovis;B
2;I;P;Antonio Siljan;V
2;I;P;David Legović;B
2;HD;S;Ricardo Bagadur;B
2;HD;S;Marko Bašić;V
2;HD;P;Fran Beloša Fijan;V
2;HD;P;Tin Hrvoj;B
2;HD;S;Dominik Ivkič;B
2;HD;P;Bruno Karoglan;V
2;HD;S;Valentino Majstorović;V
2;HD;P;Mario Marić;G
2;HD;P;Karlo Perić;N
2;HD;S;Vinko Petković;N
2;HD;S;Ivan Roca;V
2;HD;S;Zvonimir Šubarić;G
2;HD;S;Tomislav Valentić;B
2;HD;P;Mario Veljača;N
2;HD;P;Luka Viduka;N
2;HD;P;Stipe Vulikić;B
2;HD;S;Filip Jazvić;V
2;HD;S;Martin Sekulić;N
2;HD;S;Tonio Teklić;N
2;HD;P;Dino Skorup;V
3;D;P;Arijan Ademi;V
3;D;P;Marko Bulat;V
3;D;P;Duje Čop;N
3;D;S;Bartol Franjić;V
3;D;S;Mario Gavranović;V
3;D;S;Amer Gojak;V
3;D;S;Luka Ivanušec;V
3;D;S;Lirim Kastrati;V
3;D;S;Rasmus Steensbaek Lauritsen;B
3;D;S;Dominik Livaković;G
3;D;P;Lovro Majer;N
3;D;P;Luka Menalo;N
3;D;P;Josip Mišić;V
3;D;S;Mislav Oršić;N
3;D;S;Dino Perić;B
3;D;P;Bruno Petković;N
3;D;S;Stefan Ristovski;DB
3;D;S;Daniel Štefulj;LB
3;D;P;Josip Šutalo;B
3;D;P;Danijel Zagorac;G
3;SP;S;Ivan Čović;G
3;SP;S;Matko Zirdum;CB
3;SP;S;Mario Marina;DV
3;SP;S;Tomislav Božić;CV
3;SP;S;Mihael Mlinarić;DV
3;SP;S;Lovro Zvonarek;CN
3;SP;S;Nemanja Glavčić;CV
3;SP;S;Goran Paracki;CV
3;SP;S;Marin Laušić;CDV
3;SP;S;Bruno Bogojević;DDV
3;SP;S;Ivan Krstanović;CV
3;SP;P;Antun Marković;G
3;SP;P;Damian van Bruggen;CB
